URS00000162F8_9940	24	45	61	83
URS0000016914_9593	33	54
URS0000016914_9597	33	54
URS0000016914_9598	33	54
URS0000016914_9606	33	54	70	90
URS000001732B_7222	14	36
URS0000017407_7237	51	70
URS00000179CB_6239	27	46	66	86
URS0000018976_7222	11	33
URS0000018D52_9519	30	52
URS0000019741_31234	56	77
URS000001B1C8_9597	5	23
URS000001B1C8_9598	5	23
URS000001B1C8_9600	5	23
URS000001B5F1_7234	56	78
URS000001C56B_4530	23	46
URS000001D1A1_9544	34	54	70	91
URS000001D1A1_9545	70	90
URS000001D890_7237	9	30	56	76
URS000001ED4F_218851	1	21
URS000001ED66_7237	22	42	72	95
URS000001F195_7220	15	40
URS000001F4A0_31234	16	38	55	76
URS000001FC0F_7244	19	40	58	79
URS0000020247_6239	0	22	42	63
URS0000020270_6239	0	21	43	64
URS00000207EA_78454	52	73
URS00000209CA_4530	9	28
URS000002152D_7260	57	78
URS0000022547_7244	8	30	53	75
URS0000023148_7245	42	63
URS0000024FC6_7237	53	74
URS0000025421_6239	0	21
URS000002615F_7245	13	34
URS000002618C_7220	12	35
URS0000027319_31234	58	79
URS0000027A91_7237	9	36
URS0000027D55_7217	48	68
URS000002A190_10376	14	35	51	73
URS000002BD8A_31234	48	69
URS000002D1E1_9544	49	70
URS000002D1E1_9545	49	70
URS000002D821_31234	65	88
URS000002EC5C_3694	2	22	64	84
URS0000030088_31234	16	37
URS00000301F9_7220	58	80
URS00000301F9_7238	58	80
URS00000301F9_7245	58	80
URS00000304F4_7220	63	84
URS0000030B6C_6239	20	41	60	81
URS0000031E12_9031	10	31	55	76
URS0000031E12_9544	10	31	55	76
URS0000031E12_9600	10	31
URS0000031E12_9606	10	31	55	76
URS0000031E12_9913	10	31
URS0000031E12_9940	10	31
URS00000336D0_7234	14	36
URS00000336D0_7237	14	36
URS00000371AF_7245	47	68
URS00000373D1_7230	39	59
URS0000037968_3702	151	171
URS0000038E51_7227	8	29	48	70
URS0000038E51_7238	8	28
URS0000038E51_7240	8	28
URS0000039365_4265	185	207
URS000003A6F3_6239	30	50	67	88
URS000003BE5F_4530	21	40	90	110
URS000003CF03_7244	20	37	59	80
URS000003E159_7237	23	46
URS000003E405_7245	13	35
URS0000040AEA_9447	7	28
URS0000040D3E_7244	17	38
URS0000040F94_6239	55	76
URS0000042A02_6239	0	23	37	59
URS0000042BAC_7230	12	33
URS0000043459_7237	26	46	67	86
URS00000443CF_7217	3	24
URS0000044515_6239	25	45	64	84
URS00000445CE_7237	64	85
URS0000044C72_7227	23	43	59	82
URS0000044F24_7260	10	37
URS0000044F41_4530	10	30
URS0000045463_7222	10	30
URS0000046C3B_4530	79	99
URS0000047399_6239	17	39	58	80
URS0000047E40_9544	26	46	63	85
URS0000047E40_9545	26	46
URS000004915D_31234	16	33	59	80
URS000004A5AD_6238	16	36	61	81
URS000004A7A3_7260	2	23
URS000004AC1C_7227	24	45	65	85
URS000004BDB2_4530	86	106
URS000004BE34_3702	11	30
URS000004F02C_7217	15	40
URS00000502B3_78454	38	60
URS0000052378_7230	52	74
URS0000055D14_218851	85	105
